792: 1000  2026-05-26 18:08:59 ls -l
793: 1001  2026-05-26 18:09:02 cd practices/
794: 1002  2026-05-26 18:09:03 ls -l
795: 1003  2026-05-26 18:09:11 sudo chmod +x investigategal02.sh 
796: 1004  2026-05-26 18:09:15 ./investigategal02.sh 
797: 1005  2026-05-26 18:09:16 clear
798: 1006  2026-05-26 18:10:03 sudo chmod +x investigategal02.sh 
799: 1007  2026-05-26 18:10:06 ./investigategal02.sh 
800: 1008  2026-05-26 18:10:11 clear
801: 1009  2026-05-26 18:11:41 ./investigategal02.sh 
802: 1010  2026-05-26 18:11:47 cat investigationgal02.txt 
803: 1011  2026-05-26 18:13:10 ./investigategal02.sh 
804: 1012  2026-05-26 18:13:12 cat investigationgal02.txt 
805: 1013  2026-05-26 18:13:40 ./investigategal02.sh 
806: 1014  2026-05-26 18:13:41 cat investigationgal02.txt 
807: 1015  2026-05-26 18:14:40 clear
808: 1016  2026-05-26 18:14:41 ./investigategal02.sh 
809: 1017  2026-05-26 18:14:44 cat investigationgal02.txt 
810: 1018  2026-05-26 18:14:55 ifconfig 
811: 1019  2026-05-26 18:15:20 ifconfig | grep -E -o 'inet'
812: 1020  2026-05-26 18:15:44 ifconfig | grep -E -o '[0-9]+\.'
813: 1021  2026-05-26 18:15:51 ifconfig | grep -E -o 'inet [0-9]+\.'
814: 1022  2026-05-26 18:16:16 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]'
815: 1023  2026-05-26 18:16:23 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+'
816: 1024  2026-05-26 18:17:14 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+' | cut -d ' ' -f2
817: 1025  2026-05-26 18:17:31 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+' | cut -d ' ' -f2 | grep -v '127.0.0.1'
818: 1026  2026-05-26 18:20:42 ./investigategal02.sh 
819: 1027  2026-05-26 18:20:45 cat investigationgal02.txt 
820: 1028  2026-05-26 18:20:54 clear
821: 1029  2026-05-26 18:21:14 ps -ax | grep -E 'ssh'
822: 1030  2026-05-26 18:22:57 ps --help
823: 1031  2026-05-26 18:23:11 ps --help list
824: 1032  2026-05-26 18:23:27 ps(1)
825: 1033  2026-05-26 18:24:17 ps -aux | grep -E 'ssh'
826: 1034  2026-05-26 18:24:26 ps -ax | grep -E 'ssh'
827: 1035  2026-05-26 18:25:08 ps -ax | grep -E 'nginx'
828: 1036  2026-05-26 18:25:54 ps -ax | grep -E 'mysql'
829: 1037  2026-05-26 18:25:58 ps -ax | grep -E 'mysql-server'
830: 1038  2026-05-26 18:26:31 ps -ax | grep -E 'python'
831: 1039  2026-05-26 18:26:34 ps -ax | grep -E 'py'
832: 1040  2026-05-26 18:26:44 clear
833: 1041  2026-05-26 18:26:46 ps -ax | grep -E 'python'
834: 1042  2026-05-26 18:26:49 ps -ax | grep -E 'py'
835: 1043  2026-05-26 18:28:13 ps -ax | wc -l
836: 1044  2026-05-26 18:29:40 ps -ax | grep -E 'py' | wc -l
837: 1045  2026-05-26 18:31:43 ./investigategal02.sh 
838: 1046  2026-05-26 18:31:46 cat investigationgal02.txt 
839: 1047  2026-05-26 18:32:32 ./investigategal02.sh 
840: 1048  2026-05-26 18:32:33 cat investigationgal02.txt 
841: 1049  2026-05-26 18:32:35 clear
842: 1050  2026-05-26 18:33:46 sudo chmod +x part1gal02.sh 
843: 1051  2026-05-26 18:33:49 ./part1gal02.sh 
844: 1052  2026-05-26 18:33:52 clear
845: 1053  2026-05-26 18:34:44 ./part1gal02.sh 
846: 1054  2026-05-26 18:34:46 cat exposuregal02.txt 
847: 1055  2026-05-26 18:36:01 ./part1gal02.sh 
848: 1056  2026-05-26 18:36:02 cat exposuregal02.txt 
849: 1057  2026-05-26 18:36:28 clear
850: 1058  2026-05-26 18:36:31 ifconfig 
851: 1059  2026-05-26 18:36:55 ifconfig | grep -E 'inet [0-9]\.'
852: 1060  2026-05-26 18:36:58 ifconfig | grep -E 'inet [0-9]+\.'
853: 1061  2026-05-26 18:37:03 ifconfig | grep -E -o 'inet [0-9]+\.'
854: 1062  2026-05-26 18:37:13 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.'
855: 1063  2026-05-26 18:37:22 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]\.'
856: 1064  2026-05-26 18:37:26 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.'
857: 1065  2026-05-26 18:37:33 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+'
858: 1066  2026-05-26 18:37:46 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+' | cut -d ' ' -f2
859: 1067  2026-05-26 18:37:56 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+' | cut -d ' ' -f2 | grep -v '127.0.0.1'
860: 1068  2026-05-26 18:38:35 ./part1gal02.sh 
861: 1069  2026-05-26 18:38:37 cat exposuregal02.txt 
862: 1070  2026-05-26 18:38:45 ping 8.8.8.8
863: 1071  2026-05-26 18:39:40 ping 8.8.8.8 | grep -E '^64'
864: 1072  2026-05-26 18:39:51 ping -c 4 8.8.8.8 | grep -E '^64'
865: 1073  2026-05-26 18:40:38 ./part1gal02.sh 
866: 1074  2026-05-26 18:40:43 cat exposuregal02.txt 
867: 1075  2026-05-26 18:41:03 clear
868: 1076  2026-05-26 18:41:08 ps 
