800: 1000  2026-05-26 18:08:59 ls -l
801: 1001  2026-05-26 18:09:02 cd practices/
802: 1002  2026-05-26 18:09:03 ls -l
803: 1003  2026-05-26 18:09:11 sudo chmod +x investigategal02.sh 
804: 1004  2026-05-26 18:09:15 ./investigategal02.sh 
805: 1005  2026-05-26 18:09:16 clear
806: 1006  2026-05-26 18:10:03 sudo chmod +x investigategal02.sh 
807: 1007  2026-05-26 18:10:06 ./investigategal02.sh 
808: 1008  2026-05-26 18:10:11 clear
809: 1009  2026-05-26 18:11:41 ./investigategal02.sh 
810: 1010  2026-05-26 18:11:47 cat investigationgal02.txt 
811: 1011  2026-05-26 18:13:10 ./investigategal02.sh 
812: 1012  2026-05-26 18:13:12 cat investigationgal02.txt 
813: 1013  2026-05-26 18:13:40 ./investigategal02.sh 
814: 1014  2026-05-26 18:13:41 cat investigationgal02.txt 
815: 1015  2026-05-26 18:14:40 clear
816: 1016  2026-05-26 18:14:41 ./investigategal02.sh 
817: 1017  2026-05-26 18:14:44 cat investigationgal02.txt 
818: 1018  2026-05-26 18:14:55 ifconfig 
819: 1019  2026-05-26 18:15:20 ifconfig | grep -E -o 'inet'
820: 1020  2026-05-26 18:15:44 ifconfig | grep -E -o '[0-9]+\.'
821: 1021  2026-05-26 18:15:51 ifconfig | grep -E -o 'inet [0-9]+\.'
822: 1022  2026-05-26 18:16:16 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]'
823: 1023  2026-05-26 18:16:23 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+'
824: 1024  2026-05-26 18:17:14 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+' | cut -d ' ' -f2
825: 1025  2026-05-26 18:17:31 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+' | cut -d ' ' -f2 | grep -v '127.0.0.1'
826: 1026  2026-05-26 18:20:42 ./investigategal02.sh 
827: 1027  2026-05-26 18:20:45 cat investigationgal02.txt 
828: 1028  2026-05-26 18:20:54 clear
829: 1029  2026-05-26 18:21:14 ps -ax | grep -E 'ssh'
830: 1030  2026-05-26 18:22:57 ps --help
831: 1031  2026-05-26 18:23:11 ps --help list
832: 1032  2026-05-26 18:23:27 ps(1)
833: 1033  2026-05-26 18:24:17 ps -aux | grep -E 'ssh'
834: 1034  2026-05-26 18:24:26 ps -ax | grep -E 'ssh'
835: 1035  2026-05-26 18:25:08 ps -ax | grep -E 'nginx'
836: 1036  2026-05-26 18:25:54 ps -ax | grep -E 'mysql'
837: 1037  2026-05-26 18:25:58 ps -ax | grep -E 'mysql-server'
838: 1038  2026-05-26 18:26:31 ps -ax | grep -E 'python'
839: 1039  2026-05-26 18:26:34 ps -ax | grep -E 'py'
840: 1040  2026-05-26 18:26:44 clear
841: 1041  2026-05-26 18:26:46 ps -ax | grep -E 'python'
842: 1042  2026-05-26 18:26:49 ps -ax | grep -E 'py'
843: 1043  2026-05-26 18:28:13 ps -ax | wc -l
844: 1044  2026-05-26 18:29:40 ps -ax | grep -E 'py' | wc -l
845: 1045  2026-05-26 18:31:43 ./investigategal02.sh 
846: 1046  2026-05-26 18:31:46 cat investigationgal02.txt 
847: 1047  2026-05-26 18:32:32 ./investigategal02.sh 
848: 1048  2026-05-26 18:32:33 cat investigationgal02.txt 
849: 1049  2026-05-26 18:32:35 clear
850: 1050  2026-05-26 18:33:46 sudo chmod +x part1gal02.sh 
851: 1051  2026-05-26 18:33:49 ./part1gal02.sh 
852: 1052  2026-05-26 18:33:52 clear
853: 1053  2026-05-26 18:34:44 ./part1gal02.sh 
854: 1054  2026-05-26 18:34:46 cat exposuregal02.txt 
855: 1055  2026-05-26 18:36:01 ./part1gal02.sh 
856: 1056  2026-05-26 18:36:02 cat exposuregal02.txt 
857: 1057  2026-05-26 18:36:28 clear
858: 1058  2026-05-26 18:36:31 ifconfig 
859: 1059  2026-05-26 18:36:55 ifconfig | grep -E 'inet [0-9]\.'
860: 1060  2026-05-26 18:36:58 ifconfig | grep -E 'inet [0-9]+\.'
861: 1061  2026-05-26 18:37:03 ifconfig | grep -E -o 'inet [0-9]+\.'
862: 1062  2026-05-26 18:37:13 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.'
863: 1063  2026-05-26 18:37:22 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]\.'
864: 1064  2026-05-26 18:37:26 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.'
865: 1065  2026-05-26 18:37:33 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+'
866: 1066  2026-05-26 18:37:46 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+' | cut -d ' ' -f2
867: 1067  2026-05-26 18:37:56 ifconfig | grep -E -o 'inet [0-9]+\.[0-9]+\.[0-9]+\.[0-9]+' | cut -d ' ' -f2 | grep -v '127.0.0.1'
868: 1068  2026-05-26 18:38:35 ./part1gal02.sh 
869: 1069  2026-05-26 18:38:37 cat exposuregal02.txt 
870: 1070  2026-05-26 18:38:45 ping 8.8.8.8
871: 1071  2026-05-26 18:39:40 ping 8.8.8.8 | grep -E '^64'
872: 1072  2026-05-26 18:39:51 ping -c 4 8.8.8.8 | grep -E '^64'
